rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,lastName,firstName,country_cpi,country_gdp,country_population,country_lat,country_long
1,211.0,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,M,3/5/1949 0:00,Arnault,Bernard,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749
2,180.0,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,M,6/28/1971 0:00,Musk,Elon,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
3,114.0,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,M,1/12/1964 0:00,Bezos,Jeff,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
4,107.0,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,M,8/17/1944 0:00,Ellison,Larry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
5,106.0,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,M,8/30/1930 0:00,Buffett,Warren,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
6,104.0,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,M,10/28/1955 0:00,Gates,Bill,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
7,94.5,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,M,2/14/1942 0:00,Bloomberg,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
8,93.0,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,M,1/28/1940 0:00,Slim Helu,Carlos,141.54,"$1,258,286,717,125 ",126014024.0,23.634501,-102.552784
9,83.4,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,M,4/19/1957 0:00,Ambani,Mukesh,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
10,80.7,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,M,3/24/1956 0:00,Ballmer,Steve,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
11,80.5,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749
12,79.2,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,M,3/26/1973 0:00,Page,Larry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
13,77.3,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,M,3/28/1936 0:00,Ortega,Amancio,110.96,"$1,394,116,310,769 ",47076781.0,40.463667,-3.74922
14,76.0,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,M,8/21/1973 0:00,Brin,Sergey,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
